[NASDAQ100 5m] 2012-2026
INFO:DUKASCRIPT:current timestamp :2020-12-18T13:35:00
  NASDAQ100 5m 2020: 68,257 bar
INFO:DUKASCRIPT:current timestamp :2021-02-03T15:25:00
INFO:DUKASCRIPT:current timestamp :2021-03-08T06:50:00
INFO:DUKASCRIPT:current timestamp :2021-04-08T01:20:00
INFO:DUKASCRIPT:current timestamp :2021-05-10T12:00:00
INFO:DUKASCRIPT:current timestamp :2021-06-10T03:25:00
INFO:DUKASCRIPT:current timestamp :2021-07-12T17:05:00
INFO:DUKASCRIPT:current timestamp :2021-08-12T05:15:00
INFO:DUKASCRIPT:current timestamp :2021-09-13T18:55:00
INFO:DUKASCRIPT:current timestamp :2021-10-14T07:05:00
INFO:DUKASCRIPT:current timestamp :2021-11-15T18:30:00
INFO:DUKASCRIPT:current timestamp :2021-12-16T13:45:00
  NASDAQ100 5m 2021: 68,788 bar
INFO:DUKASCRIPT:current timestamp :2022-02-02T16:25:00
INFO:DUKASCRIPT:current timestamp :2022-03-07T07:55:00
INFO:DUKASCRIPT:current timestamp :2022-04-06T17:25:00
INFO:DUKASCRIPT:current timestamp :2022-05-10T05:35:00
INFO:DUKASCRIPT:current timestamp :2022-06-09T19:15:00
INFO:DUKASCRIPT:current timestamp :2022-07-12T13:55:00
INFO:DUKASCRIPT:current timestamp :2022-08-12T02:05:00
INFO:DUKASCRIPT:current timestamp :2022-09-13T15:50:00
INFO:DUKASCRIPT:current timestamp :2022-10-14T04:00:00
INFO:DUKASCRIPT:current timestamp :2022-11-15T15:25:00
INFO:DUKASCRIPT:current timestamp :2022-12-16T09:50:00
  NASDAQ100 5m 2022: 68,568 bar
INFO:DUKASCRIPT:current timestamp :2023-02-02T15:40:00
INFO:DUKASCRIPT:current timestamp :2023-03-07T07:05:00
INFO:DUKASCRIPT:current timestamp :2023-04-06T16:30:00
INFO:DUKASCRIPT:current timestamp :2023-05-09T11:40:00
INFO:DUKASCRIPT:current timestamp :2023-06-09T03:20:00
INFO:DUKASCRIPT:current timestamp :2023-07-12T20:00:00
INFO:DUKASCRIPT:current timestamp :2023-08-14T08:20:00
INFO:DUKASCRIPT:current timestamp :2023-09-13T22:00:00
INFO:DUKASCRIPT:current timestamp :2023-10-16T10:10:00
INFO:DUKASCRIPT:current timestamp :2023-11-15T21:35:00
INFO:DUKASCRIPT:current timestamp :2023-12-18T18:20:00
  NASDAQ100 5m 2023: 68,202 bar
INFO:DUKASCRIPT:current timestamp :2024-02-01T15:40:00
INFO:DUKASCRIPT:current timestamp :2024-03-05T07:05:00
INFO:DUKASCRIPT:current timestamp :2024-04-05T18:50:00
INFO:DUKASCRIPT:current timestamp :2024-05-08T10:30:00
INFO:DUKASCRIPT:current timestamp :2024-06-10T04:45:00
INFO:DUKASCRIPT:current timestamp :2024-07-11T05:05:00
INFO:DUKASCRIPT:current timestamp :2024-08-12T22:40:00
INFO:DUKASCRIPT:current timestamp :2024-09-12T16:25:00
INFO:DUKASCRIPT:current timestamp :2024-10-15T08:05:00
INFO:DUKASCRIPT:current timestamp :2024-11-14T20:55:00
INFO:DUKASCRIPT:current timestamp :2024-12-17T15:30:00
  NASDAQ100 5m 2024: 68,532 bar
INFO:DUKASCRIPT:current timestamp :2025-02-03T23:45:00
INFO:DUKASCRIPT:current timestamp :2025-03-06T15:15:00
INFO:DUKASCRIPT:current timestamp :2025-04-08T04:35:00
INFO:DUKASCRIPT:current timestamp :2025-05-09T16:50:00
INFO:DUKASCRIPT:current timestamp :2025-06-11T11:20:00
INFO:DUKASCRIPT:current timestamp :2025-07-14T11:35:00
INFO:DUKASCRIPT:current timestamp :2025-08-14T02:00:00
INFO:DUKASCRIPT:current timestamp :2025-09-15T16:45:00
INFO:DUKASCRIPT:current timestamp :2025-10-16T05:05:00
INFO:DUKASCRIPT:current timestamp :2025-11-17T16:30:00
INFO:DUKASCRIPT:current timestamp :2025-12-18T21:40:00
  NASDAQ100 5m 2025: 68,169 bar
INFO:DUKASCRIPT:current timestamp :2026-02-03T15:25:00
INFO:DUKASCRIPT:current timestamp :2026-03-06T06:50:00
INFO:DUKASCRIPT:current timestamp :2026-04-08T17:00:00
INFO:DUKASCRIPT:current timestamp :2026-05-11T05:20:00
INFO:DUKASCRIPT:current timestamp :2026-06-10T21:20:00
INFO:DUKASCRIPT:current timestamp :2026-07-13T16:10:00
INFO:DUKASCRIPT:current timestamp :2026-08-13T04:20:00
INFO:DUKASCRIPT:current timestamp :2026-08-21T23:10:00
  NASDAQ100 5m 2026: 43,845 bar
  -> inen=15 atlanan=0 bos=0
